LineID,SalesID,ItemNo,Quantity,LinePrice,ProfitMargin,Tax
SL00061,S0008,P185,6,708.24,21.7,14.22
SL00062,S0008,P108,9,175.86,18.55,16.59
SL00063,S0008,P104,3,439.47,22.8,17.06
SL00064,S0009,P010,3,277.83,24.84,11.61
SL00065,S0009,P167,2,139.9,29.63,15.3
SL00066,S0009,P141,4,479.8,24.76,5.34
SL00067,S0009,P179,9,1076.67,19.31,11.08
SL00068,S0009,P186,9,1710.36,8.24,16.5
SL00069,S0009,P058,2,252.44,12.73,17.99
SL00070,S0009,P071,8,1446.48,18.14,15.0
SL00071,S0009,P003,10,787.8,6.84,17.64
SL00072,S0009,P034,2,92.8,16.25,13.84
SL00073,S0009,P169,6,886.02,8.21,15.78
SL00074,S0010,P157,10,631.4,9.55,17.56
SL00075,S0010,P020,7,1352.61,17.57,16.29
SL00076,S0010,P149,2,261.52,17.95,8.95
SL00077,S0010,P062,3,185.25,13.07,14.22
SL00078,S0010,P145,6,967.68,28.69,11.75
SL00079,S0010,P189,5,438.1,26.15,8.26
SL00080,S0010,P022,9,839.16,11.86,13.13
SL00081,S0010,P056,10,1873.2,18.34,11.53
SL00082,S0010,P002,3,455.79,19.8,12.55
SL00083,S0011,P034,10,464.0,23.02,12.87
SL00084,S0011,P163,10,1361.5,6.03,16.23
SL00085,S0011,P164,2,181.7,6.14,13.34
SL00086,S0011,P125,10,155.1,11.62,7.74
SL00087,S0011,P137,10,553.2,15.41,13.31
SL00088,S0011,P094,8,371.6,27.22,12.09
SL00089,S0012,P016,5,105.05,17.07,15.46
SL00090,S0012,P147,7,742.91,12.44,5.95
SL00091,S0012,P124,1,102.76,8.95,10.4
SL00092,S0012,P049,8,959.92,10.1,12.89
SL00093,S0012,P188,6,258.12,26.54,9.15
SL00094,S0012,P035,6,540.96,29.38,6.7
SL00095,S0012,P098,6,642.72,17.87,6.38
SL00096,S0012,P059,4,547.56,16.66,8.48
SL00097,S0012,P170,4,785.2,8.52,5.66
SL00098,S0012,P193,7,635.46,26.6,10.44
SL00099,S0013,P135,6,950.58,28.34,14.37
SL00100,S0013,P185,4,472.16,24.08,11.48
SL00101,S0013,P125,9,139.59,16.67,16.43
SL00102,S0013,P010,8,740.88,5.58,17.29
SL00103,S0013,P093,9,778.14,16.43,8.13
SL00104,S0013,P047,10,230.2,13.82,5.66
SL00105,S0014,P123,10,1531.6,27.06,13.51
SL00106,S0014,P185,8,944.32,12.14,5.11
SL00107,S0014,P095,2,253.9,15.77,16.47
SL00108,S0014,P195,6,127.98,24.1,9.76
SL00109,S0014,P147,7,742.91,6.28,12.3
SL00110,S0014,P103,6,579.18,18.83,5.96
SL00111,S0014,P156,9,923.67,16.26,12.15
SL00112,S0014,P071,10,1808.1,22.01,6.54
SL00113,S0015,P158,7,809.2,14.33,17.83
SL00114,S0015,P157,9,568.26,28.47,14.81
SL00115,S0015,P185,4,472.16,20.06,10.22
SL00116,S0015,P086,1,123.35,6.13,6.78
SL00117,S0015,P011,6,1167.96,25.1,11.75
SL00118,S0016,P144,10,293.6,27.33,6.82
SL00119,S0016,P168,10,463.9,12.96,10.11
SL00120,S0016,P092,10,1063.5,23.48,8.89
SL00121,S0016,P002,6,911.58,17.68,11.63
SL00122,S0016,P060,8,1507.2,22.72,8.9
SL00123,S0016,P159,1,55.86,14.21,13.76
SL00124,S0017,P063,10,486.8,12.69,16.68
SL00125,S0017,P042,1,90.37,19.92,8.45
SL00126,S0017,P191,10,1435.7,19.44,14.38
SL00127,S0017,P148,10,1662.4,17.01,11.82
SL00128,S0017,P045,10,208.6,24.37,9.94
SL00129,S0017,P086,4,493.4,5.79,17.33
SL00130,S0017,P181,2,397.68,9.77,10.73
SL00131,S0017,P006,7,863.24,8.79,13.98
SL00132,S0018,P020,9,1739.07,24.37,16.97
SL00133,S0018,P031,1,90.48,22.64,11.74
SL00134,S0018,P140,9,1420.02,13.13,13.61
SL00135,S0018,P056,9,1685.88,14.42,17.44
SL00136,S0018,P200,8,218.8,27.8,9.45
SL00137,S0018,P120,6,295.8,21.9,16.28
SL00138,S0018,P169,5,738.35,20.25,7.5
SL00139,S0018,P082,4,251.72,11.98,8.88
SL00140,S0019,P183,5,786.9,22.62,13.97
SL00141,S0019,P068,8,932.56,12.93,9.53
SL00142,S0019,P173,5,975.6,12.19,12.46
SL00143,S0019,P109,9,317.97,14.49,17.74
SL00144,S0019,P186,6,1140.24,28.87,15.46
SL00145,S0019,P025,5,56.85,6.05,17.42
SL00146,S0019,P094,2,92.9,13.66,10.75
SL00147,S0020,P129,8,1056.96,10.35,15.76
SL00148,S0020,P143,5,612.5,28.33,14.05
SL00149,S0020,P124,3,308.28,7.73,14.63
SL00150,S0020,P185,4,472.16,11.06,13.71
SL00151,S0020,P068,9,1049.13,10.64,8.03
SL00152,S0020,P192,2,371.08,15.33,14.33
SL00153,S0020,P021,2,290.92,22.03,6.79
SL00154,S0021,P059,3,410.67,15.17,17.16
SL00155,S0021,P175,8,1406.56,16.94,7.59
SL00156,S0021,P168,5,231.95,13.03,13.4
SL00157,S0021,P110,2,381.02,21.31,8.02
SL00158,S0021,P160,1,141.22,27.83,7.28
SL00159,S0021,P170,3,588.9,28.35,5.47
SL00160,S0021,P177,7,405.79,24.7,7.42
SL00161,S0021,P058,5,631.1,26.92,5.12
SL00162,S0021,P059,10,1368.9,20.07,17.07
SL00163,S0022,P096,5,338.7,16.36,13.34
SL00164,S0022,P058,9,1135.98,17.35,17.2
SL00165,S0022,P152,9,884.97,16.7,7.51
SL00166,S0022,P178,2,332.4,13.27,14.5
SL00167,S0022,P165,5,384.2,22.96,5.18
SL00168,S0022,P036,6,1056.9,24.77,12.38
SL00169,S0022,P111,4,671.24,9.39,16.13
SL00170,S0023,P128,7,857.22,17.88,6.13
SL00171,S0023,P191,2,287.14,9.62,6.83
SL00172,S0023,P172,6,867.12,28.4,5.09
SL00173,S0023,P058,7,883.54,10.89,14.8
SL00174,S0023,P100,6,166.44,12.55,14.4
SL00175,S0023,P136,1,190.43,11.54,9.67
SL00176,S0023,P104,4,585.96,6.55,6.54
SL00177,S0023,P090,5,396.0,8.99,13.92
SL00178,S0024,P126,5,737.95,22.26,13.3
SL00179,S0024,P035,5,450.8,14.19,7.87
SL00180,S0024,P178,3,498.6,16.95,10.91
SL00181,S0024,P131,10,963.9,14.34,14.13
SL00182,S0024,P185,8,944.32,23.93,15.43
SL00183,S0024,P110,4,762.04,24.05,13.84
SL00184,S0024,P113,10,1528.4,26.83,6.06
SL00185,S0024,P118,8,1153.76,18.2,9.7
SL00186,S0024,P154,10,1775.1,7.81,15.77
SL00187,S0024,P118,9,1297.98,10.05,11.98
SL00188,S0025,P162,6,312.6,26.36,10.74
SL00189,S0025,P161,4,380.6,22.92,11.35
SL00190,S0025,P102,9,169.02,16.14,5.72
SL00191,S0025,P187,3,180.84,17.83,10.94
SL00192,S0025,P117,1,36.29,18.97,13.75
SL00193,S0025,P111,5,839.05,23.08,10.15
SL00194,S0026,P100,4,110.96,19.46,5.59
SL00195,S0026,P107,6,309.48,22.51,12.04
SL00196,S0026,P048,1,86.72,28.36,5.9
SL00197,S0026,P148,8,1329.92,5.79,10.32
SL00198,S0026,P183,3,472.14,24.15,17.72
SL00199,S0027,P119,7,510.09,14.36,16.59
SL00200,S0027,P058,8,1009.76,26.74,16.79
SL00201,S0027,P024,7,852.46,7.01,17.53
SL00202,S0027,P118,9,1297.98,8.32,16.18
SL00203,S0027,P036,2,352.3,9.46,11.98
SL00204,S0027,P022,9,839.16,8.18,17.72
SL00205,S0027,P095,1,126.95,23.9,17.72
SL00206,S0027,P103,8,772.24,21.84,12.08
SL00207,S0027,P066,9,96.03,14.48,7.99
SL00208,S0027,P080,8,543.92,13.65,8.58
SL00209,S0028,P053,2,193.74,5.81,13.58
SL00210,S0028,P023,10,571.0,24.15,16.49
SL00211,S0028,P186,1,190.04,11.02,5.87
SL00212,S0028,P126,10,1475.9,5.84,12.77
SL00213,S0028,P124,1,102.76,11.12,5.58
SL00214,S0028,P026,8,428.0,10.86,7.82
SL00215,S0028,P107,1,51.58,8.5,17.92
SL00216,S0028,P096,4,270.96,25.39,14.51
SL00217,S0028,P014,6,742.8,19.44,15.04
SL00218,S0028,P036,6,1056.9,10.92,16.39
SL00219,S0029,P094,9,418.05,10.53,8.91
SL00220,S0029,P006,1,123.32,18.92,12.69
SL00221,S0029,P045,3,62.58,20.65,10.55
SL00222,S0029,P047,8,184.16,6.17,9.48
SL00223,S0029,P190,7,457.38,24.65,9.14
SL00224,S0029,P149,7,915.32,15.21,8.9
SL00225,S0029,P008,3,417.75,23.86,11.16
SL00226,S0029,P010,4,370.44,12.52,14.2
SL00227,S0029,P162,8,416.8,27.87,12.31
SL00228,S0029,P115,7,435.19,18.93,6.74
SL00229,S0030,P047,5,115.1,10.08,13.41
SL00230,S0030,P126,8,1180.72,26.18,6.2
SL00231,S0030,P189,4,350.48,6.29,9.9
SL00232,S0030,P181,10,1988.4,20.07,16.36
SL00233,S0030,P158,4,462.4,25.12,12.64
SL00234,S0030,P067,9,366.3,10.43,7.72
SL00235,S0031,P021,5,727.3,28.93,5.2
SL00236,S0031,P006,4,493.28,29.05,6.53
SL00237,S0031,P087,8,743.28,27.86,14.04
SL00238,S0031,P078,4,330.72,14.92,8.11
SL00239,S0031,P102,6,112.68,24.39,9.95
SL00240,S0031,P166,9,519.93,21.22,9.01
SL00241,S0031,P199,6,897.36,17.82,11.46
SL00242,S0032,P126,8,1180.72,24.04,9.16
SL00243,S0032,P094,4,185.8,14.27,10.38
SL00244,S0032,P113,10,1528.4,26.6,14.64
SL00245,S0032,P051,1,187.59,11.52,17.15
SL00246,S0032,P044,10,1200.4,23.0,8.84
SL00247,S0033,P171,6,319.32,10.75,12.41
SL00248,S0033,P017,4,105.08,17.48,13.51
SL00249,S0033,P009,6,936.18,11.43,15.68
SL00250,S0033,P059,8,1095.12,16.52,14.53
SL00251,S0033,P168,6,278.34,9.23,14.36
SL00252,S0033,P159,8,446.88,9.6,16.56
SL00253,S0034,P118,1,144.22,18.1,15.91
SL00254,S0034,P046,2,41.62,28.63,13.69
SL00255,S0034,P192,1,185.54,15.31,15.95
SL00256,S0034,P085,4,481.24,6.7,6.96
SL00257,S0034,P141,4,479.8,17.64,9.85
SL00258,S0034,P171,10,532.2,20.94,17.14
SL00259,S0034,P065,8,1044.08,21.48,5.2
SL00260,S0034,P027,9,211.14,18.79,5.15
SL00261,S0034,P094,9,418.05,23.05,11.96
SL00262,S0034,P172,5,722.6,5.43,15.57
SL00263,S0035,P157,7,441.98,25.15,16.83
SL00264,S0035,P104,2,292.98,27.95,11.82
SL00265,S0035,P126,4,590.36,9.8,11.84
SL00266,S0035,P080,6,407.94,11.68,10.16
SL00267,S0035,P074,6,1115.4,28.98,10.97
SL00268,S0035,P071,4,723.24,29.76,7.94
SL00269,S0035,P028,2,101.4,21.34,16.16
SL00270,S0035,P181,1,198.84,7.34,9.93
SL00271,S0035,P114,9,1399.5,16.9,13.28
SL00272,S0035,P178,3,498.6,7.07,15.99
SL00273,S0036,P073,6,463.2,19.15,16.15
SL00274,S0036,P122,2,201.26,27.37,16.95
SL00275,S0036,P042,4,361.48,10.29,16.29
SL00276,S0036,P166,10,577.7,16.89,5.61
SL00277,S0036,P134,2,399.96,22.11,8.64
SL00278,S0036,P168,9,417.51,19.09,5.43
SL00279,S0036,P079,6,287.52,5.39,7.69
SL00280,S0036,P149,3,392.28,23.81,14.27
SL00281,S0036,P032,7,965.58,28.22,8.89
SL00282,S0036,P013,10,390.4,11.01,15.85
SL00283,S0037,P005,9,1162.89,13.29,14.82
SL00284,S0037,P148,3,498.72,24.76,13.96
SL00285,S0037,P152,2,196.66,17.52,17.67
SL00286,S0037,P152,1,98.33,7.44,8.02
SL00287,S0037,P175,2,351.64,13.51,15.0
SL00288,S0037,P095,10,1269.5,14.92,15.06
SL00289,S0037,P048,1,86.72,20.85,15.19
SL00290,S0037,P073,8,617.6,17.27,9.63
SL00291,S0038,P124,7,719.32,9.64,12.62
SL00292,S0038,P148,7,1163.68,7.14,13.04
SL00293,S0038,P116,4,218.2,22.83,6.07
SL00294,S0038,P012,3,526.2,14.5,15.19
SL00295,S0038,P128,3,367.38,23.49,9.12
SL00296,S0038,P053,2,193.74,7.29,17.26
SL00297,S0038,P011,8,1557.28,14.0,8.51
SL00298,S0038,P096,3,203.22,7.18,10.6
SL00299,S0039,P034,9,417.6,17.81,6.34
SL00300,S0039,P135,2,316.86,13.85,6.21
SL00301,S0039,P088,10,1809.1,24.61,16.23
SL00302,S0039,P068,1,116.57,12.3,10.04
SL00303,S0039,P009,2,312.06,23.12,12.27
SL00304,S0039,P041,4,788.84,19.3,7.2
SL00305,S0039,P069,7,795.62,9.24,8.5
SL00306,S0039,P154,5,887.55,17.33,5.82
SL00307,S0039,P109,7,247.31,11.9,8.9
SL00308,S0040,P053,6,581.22,11.29,8.21
SL00309,S0040,P058,8,1009.76,19.85,7.54
SL00310,S0040,P157,2,126.28,8.39,5.09
SL00311,S0040,P148,7,1163.68,13.31,13.06
SL00312,S0040,P009,6,936.18,16.01,10.6
SL00313,S0041,P065,10,1305.1,8.4,9.17
SL00314,S0041,P167,4,279.8,16.98,7.31
SL00315,S0041,P162,7,364.7,29.22,8.79
SL00316,S0041,P152,8,786.64,29.19,15.17
SL00317,S0041,P104,6,878.94,14.4,15.61
SL00318,S0041,P199,7,1046.92,14.13,17.12
SL00319,S0041,P066,4,42.68,19.81,12.09
SL00320,S0041,P190,9,588.06,5.67,14.45
SL00321,S0041,P155,4,295.68,15.96,8.79
SL00322,S0041,P178,2,332.4,25.47,15.34
SL00323,S0042,P185,8,944.32,8.48,8.94
SL00324,S0042,P170,5,981.5,21.47,14.3
SL00325,S0042,P001,7,398.02,6.85,17.88
SL00326,S0042,P097,8,786.8,19.56,11.95
SL00327,S0042,P034,7,324.8,18.59,15.28
SL00328,S0042,P151,6,762.12,22.54,15.56
SL00329,S0042,P030,10,279.2,20.95,6.1
SL00330,S0042,P049,4,479.96,21.44,9.62
SL00331,S0043,P170,10,1963.0,6.11,17.79
SL00332,S0043,P100,7,194.18,29.17,9.31
SL00333,S0043,P044,7,840.28,7.65,6.28
SL00334,S0043,P034,4,185.6,17.77,11.74
SL00335,S0043,P120,10,493.0,22.19,7.87
SL00336,S0043,P173,6,1170.72,14.78,15.04
SL00337,S0043,P012,10,1754.0,22.26,6.96
SL00338,S0043,P118,1,144.22,17.07,8.84
SL00339,S0043,P015,2,373.06,7.9,17.23
SL00340,S0043,P167,3,209.85,13.71,9.46
SL00341,S0044,P189,9,788.58,17.07,11.19
SL00342,S0044,P137,8,442.56,23.05,10.88
SL00343,S0044,P029,2,112.34,12.51,15.53
SL00344,S0044,P026,2,107.0,5.56,9.46
SL00345,S0044,P033,2,173.0,21.93,7.14
SL00346,S0044,P109,4,141.32,17.9,12.17
SL00347,S0045,P045,9,187.74,15.66,11.01
SL00348,S0045,P184,7,465.5,20.74,7.42
SL00349,S0045,P184,7,465.5,14.89,14.59
SL00350,S0045,P142,4,341.44,16.24,10.58
SL00351,S0045,P110,1,190.51,22.62,7.68
SL00352,S0045,P024,2,243.56,19.43,15.39
SL00353,S0045,P035,9,811.44,9.67,9.24
SL00354,S0046,P178,2,332.4,11.56,16.21
SL00355,S0046,P045,9,187.74,29.15,9.07
SL00356,S0046,P005,7,904.47,20.28,12.63
SL00357,S0046,P098,6,642.72,13.8,10.95
SL00358,S0046,P085,3,360.93,25.34,14.18
SL00359,S0046,P049,5,599.95,27.97,12.67
SL00360,S0046,P001,3,170.58,12.83,8.1
SL00361,S0046,P054,2,194.14,9.58,14.01
SL00362,S0047,P098,7,749.84,15.46,6.79
SL00363,S0047,P189,7,613.34,15.58,11.33
SL00364,S0047,P154,9,1597.59,22.34,13.39
SL00365,S0047,P175,3,527.46,18.87,11.37
SL00366,S0047,P158,3,346.8,9.68,15.95
SL00367,S0047,P084,10,1884.6,6.34,9.67
SL00368,S0047,P063,1,48.68,17.12,7.54
SL00369,S0047,P012,7,1227.8,29.1,11.57
SL00370,S0047,P144,8,234.88,15.23,11.39
SL00371,S0048,P117,8,290.32,17.22,6.07
SL00372,S0048,P053,1,96.87,24.9,7.87
SL00373,S0048,P109,1,35.33,11.87,11.99
SL00374,S0048,P101,3,158.04,24.52,12.35
SL00375,S0048,P062,8,494.0,18.74,6.47
SL00376,S0048,P048,2,173.44,11.7,12.06
SL00377,S0048,P015,6,1119.18,18.55,14.84
SL00378,S0048,P126,8,1180.72,18.66,17.87
SL00379,S0048,P120,2,98.6,23.4,13.5
SL00380,S0048,P057,4,320.84,12.44,17.99
SL00381,S0049,P081,5,72.5,13.71,15.62
SL00382,S0049,P039,8,697.76,26.63,6.53
SL00383,S0049,P143,4,490.0,10.25,14.59
SL00384,S0049,P195,6,127.98,26.53,12.93
SL00385,S0049,P061,7,1253.35,9.15,6.81
SL00386,S0049,P018,4,137.56,25.34,15.47
SL00387,S0049,P165,10,768.4,13.77,8.65
SL00388,S0049,P191,9,1292.13,9.21,17.73
SL00389,S0050,P163,5,680.75,19.32,17.38
SL00390,S0050,P127,9,1767.06,29.64,13.83
SL00391,S0050,P200,2,54.7,8.39,14.75
SL00392,S0050,P045,7,146.02,27.97,17.9
SL00393,S0050,P067,3,122.1,22.54,6.72
SL00394,S0050,P151,3,381.06,22.78,15.77
SL00395,S0050,P048,7,607.04,17.24,12.51
SL00396,S0051,P141,7,839.65,14.38,5.98
SL00397,S0051,P149,2,261.52,15.07,14.75
SL00398,S0051,P046,6,124.86,16.37,11.34
SL00399,S0051,P177,10,579.7,5.06,15.06
SL00400,S0051,P021,2,290.92,23.27,10.96
SL00401,S0051,P177,6,347.82,26.25,15.34
SL00402,S0051,P023,7,399.7,10.45,10.59
SL00403,S0052,P055,8,897.2,11.71,15.77
SL00404,S0052,P058,6,757.32,18.68,6.7
SL00405,S0052,P192,8,1484.32,24.71,16.62
SL00406,S0052,P038,1,186.01,6.15,13.14
SL00407,S0052,P144,8,234.88,5.41,17.08
SL00408,S0052,P146,3,333.66,16.03,5.01
SL00409,S0053,P156,4,410.52,29.89,16.82
SL00410,S0053,P110,5,952.55,8.97,17.13
SL00411,S0053,P019,5,301.8,7.33,9.69
SL00412,S0053,P033,2,173.0,14.3,16.75
SL00413,S0053,P093,3,259.38,6.29,13.13
SL00414,S0053,P144,4,117.44,15.73,6.19
SL00415,S0053,P087,2,185.82,5.03,11.2
SL00416,S0053,P083,3,395.64,19.84,11.75
SL00417,S0054,P155,1,73.92,5.2,9.47
SL00418,S0054,P137,2,110.64,29.7,10.49
SL00419,S0054,P140,3,473.34,16.94,7.98
SL00420,S0054,P140,2,315.56,23.27,6.33
SL00421,S0054,P180,6,230.1,14.19,8.89
SL00422,S0054,P101,7,368.76,24.34,14.79
SL00423,S0054,P166,3,173.31,21.04,13.8
SL00424,S0054,P129,2,264.24,18.26,5.11
SL00425,S0055,P157,3,189.42,16.0,14.39
SL00426,S0055,P038,3,558.03,28.0,13.01
SL00427,S0055,P025,8,90.96,26.5,6.13
SL00428,S0055,P129,2,264.24,8.5,6.6
SL00429,S0055,P151,7,889.14,13.79,10.58
SL00430,S0055,P012,3,526.2,11.19,13.38
SL00431,S0055,P060,4,753.6,18.83,12.8
SL00432,S0055,P086,10,1233.5,12.12,17.24
SL00433,S0055,P183,1,157.38,26.2,13.56
SL00434,S0055,P134,5,999.9,10.14,12.89
SL00435,S0056,P197,7,1000.65,12.39,5.71
SL00436,S0056,P062,4,247.0,17.37,6.47
SL00437,S0056,P081,8,116.0,20.95,5.92
SL00438,S0056,P112,1,151.29,29.67,17.14
SL00439,S0056,P126,3,442.77,14.67,15.91
SL00440,S0056,P068,7,815.99,14.14,13.88
SL00441,S0057,P128,2,244.92,5.42,5.88
SL00442,S0057,P120,5,246.5,10.39,16.99
SL00443,S0057,P045,7,146.02,17.67,13.17
SL00444,S0057,P065,9,1174.59,24.18,10.51
SL00445,S0057,P140,7,1104.46,7.06,11.98
SL00446,S0057,P171,10,532.2,8.82,6.09
SL00447,S0057,P063,2,97.36,17.78,7.64
SL00448,S0057,P114,3,466.5,18.41,10.08
SL00449,S0058,P103,2,193.06,12.75,10.69
SL00450,S0058,P119,4,291.48,6.45,6.12
SL00451,S0058,P194,7,1278.2,7.9,12.96
SL00452,S0058,P027,1,23.46,12.73,14.64
SL00453,S0058,P025,3,34.11,7.99,14.2
SL00454,S0058,P139,1,155.71,9.1,17.39
SL00455,S0058,P089,9,1302.03,17.93,15.69
SL00456,S0058,P116,5,272.75,9.17,6.65
SL00457,S0058,P100,5,138.7,23.32,6.53
SL00458,S0058,P057,1,80.21,13.38,10.58
SL00459,S0059,P108,2,39.08,11.57,17.68
SL00460,S0059,P107,2,103.16,17.4,11.64
SL00461,S0059,P155,1,73.92,17.49,12.37
SL00462,S0059,P058,6,757.32,8.93,15.05
SL00463,S0059,P136,10,1904.3,21.85,6.5
SL00464,S0059,P146,9,1000.98,5.06,16.16
SL00465,S0059,P075,1,177.47,11.11,11.13
SL00466,S0059,P014,7,866.6,28.01,7.33
SL00467,S0059,P053,1,96.87,18.82,16.88
SL00468,S0060,P091,7,898.8,10.61,8.23
SL00469,S0060,P043,6,236.46,11.78,6.01
SL00470,S0060,P149,6,784.56,7.99,13.75
SL00471,S0060,P170,1,196.3,9.48,15.46
SL00472,S0060,P075,1,177.47,28.85,5.9
SL00473,S0060,P036,8,1409.2,26.65,15.06
SL00474,S0060,P192,5,927.7,13.18,12.19
SL00475,S0060,P173,1,195.12,14.22,8.79
SL00476,S0060,P152,5,491.65,23.49,8.15
SL00477,S0060,P001,6,341.16,19.79,11.41
SL00478,S0061,P106,9,1616.49,24.01,8.19
SL00479,S0061,P006,1,123.32,28.31,5.31
SL00480,S0061,P149,9,1176.84,13.66,15.91
SL00481,S0061,P107,1,51.58,28.77,5.02
SL00482,S0061,P068,7,815.99,26.23,14.45
SL00483,S0061,P145,2,322.56,10.13,17.78
SL00484,S0062,P050,8,717.2,29.03,17.64
SL00485,S0062,P091,3,385.2,22.79,6.21
SL00486,S0062,P100,4,110.96,27.43,11.76
SL00487,S0062,P101,6,316.08,16.46,14.72
SL00488,S0062,P001,10,568.6,7.39,6.74
SL00489,S0062,P045,7,146.02,6.87,12.38
SL00490,S0062,P106,7,1257.27,21.56,6.7
SL00491,S0062,P008,5,696.25,11.52,9.1
SL00492,S0063,P161,6,570.9,12.95,8.54
SL00493,S0063,P123,2,306.32,28.59,6.77
SL00494,S0063,P188,10,430.2,7.72,6.37
SL00495,S0063,P056,8,1498.56,16.65,10.28
SL00496,S0063,P022,9,839.16,13.96,15.01
SL00497,S0063,P092,8,850.8,12.71,8.45
SL00498,S0063,P111,2,335.62,7.26,15.5
SL00499,S0063,P083,5,659.4,25.66,14.06
SL00500,S0064,P178,4,664.8,25.9,9.26
SL00501,S0064,P071,2,361.62,22.78,17.59
SL00502,S0064,P063,7,340.76,17.84,13.8
SL00503,S0064,P125,5,77.55,25.5,7.26
SL00504,S0064,P006,7,863.24,26.37,12.23
SL00505,S0065,P135,4,633.72,7.37,6.32
SL00506,S0065,P062,3,185.25,8.04,5.8
SL00507,S0065,P199,4,598.24,8.27,15.71
SL00508,S0065,P108,6,117.24,22.16,17.19
SL00509,S0065,P018,2,68.78,19.56,8.36
SL00510,S0065,P107,2,103.16,5.55,5.84
SL00511,S0065,P130,8,156.4,25.23,6.2
SL00512,S0065,P181,6,1193.04,8.06,17.25
SL00513,S0065,P060,1,188.4,9.2,12.46
SL00514,S0066,P060,7,1318.8,17.4,9.98
SL00515,S0066,P164,7,635.95,9.32,7.79
SL00516,S0066,P145,3,483.84,11.87,10.8
SL00517,S0066,P120,3,147.9,5.87,13.05
SL00518,S0066,P189,4,350.48,21.18,11.49
SL00519,S0066,P116,9,490.95,16.98,6.14
SL00520,S0066,P037,7,137.27,8.43,7.59
SL00521,S0066,P198,9,838.53,11.23,17.92
SL00522,S0066,P157,9,568.26,24.87,17.86
SL00523,S0066,P049,6,719.94,16.99,15.16
SL00524,S0067,P063,10,486.8,17.56,10.05
SL00525,S0067,P161,3,285.45,5.65,12.76
SL00526,S0067,P159,1,55.86,27.39,15.12
SL00527,S0067,P041,1,197.21,25.22,11.13
SL00528,S0067,P140,6,946.68,24.17,17.99
SL00529,S0067,P048,3,260.16,7.5,13.54
SL00530,S0067,P188,5,215.1,18.34,15.29
SL00531,S0068,P011,1,194.66,24.1,17.32
SL00532,S0068,P039,10,872.2,26.16,15.37
